#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-03-03 07:11:43
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-03-03 07:11:43 GET / - 74.85.209.172 HTTP/1.1 =Mozilla/5.0+(Windows;+U;+Windows+NT+6.1;+en-US)+AppleWebKit/534.16+(KHTML,+like+Gecko)+Chrome/10.0.648.204+Safari/534.16 - 200 34836 217
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-03-03 23:55:03
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-03-04 06:54:44 GET /css/jQuery.lightninBox.css - 178.140.51.123 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+InfoPath.1) http://www.kaiparatavern.co.nz/ 200 5246 312
2017-03-04 06:54:46 GET /css/team.css - 178.140.51.123 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+InfoPath.1) http://www.kaiparatavern.co.nz/ 200 3556 298
2017-03-04 06:54:49 GET /css/style.css - 178.140.51.123 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+InfoPath.1) http://www.kaiparatavern.co.nz/ 200 46696 299
2017-03-04 06:54:54 GET /css/bootstrap.min.css - 178.140.51.123 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+InfoPath.1) http://www.kaiparatavern.co.nz/ 200 121528 307
2017-03-04 06:54:54 GET /js/modernizr.custom.js - 178.140.51.123 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+InfoPath.1) http://www.kaiparatavern.co.nz/ 200 8777 308
2017-03-04 06:54:54 GET /fonts/glyphicons-halflings-regular.eot - 178.140.51.123 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+InfoPath.1) http://www.kaiparatavern.co.nz/ 404 1424 325
2017-03-04 06:54:54 GET /fonts/fontawesome-webfont.eot - 178.140.51.123 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+InfoPath.1) http://www.kaiparatavern.co.nz/ 404 1424 316
2017-03-04 06:54:59 GET /js/bootstrap.min.js - 178.140.51.123 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+InfoPath.1) http://www.kaiparatavern.co.nz/ 200 37151 305
2017-03-04 06:54:59 GET /js/jquery.min.js - 178.140.51.123 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+InfoPath.1) http://www.kaiparatavern.co.nz/ 200 96275 302
2017-03-04 06:55:00 GET /js/main.js - 178.140.51.123 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+InfoPath.1) http://www.kaiparatavern.co.nz/ 200 1160 296
2017-03-04 06:55:01 GET /js/jQuery.lightninBox.js - 178.140.51.123 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+InfoPath.1) http://www.kaiparatavern.co.nz/ 200 11511 310
2017-03-04 06:55:01 GET /js/SmoothScroll.min.js - 178.140.51.123 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+InfoPath.1) http://www.kaiparatavern.co.nz/ 200 6871 308
2017-03-04 06:55:01 GET /js/cbpFWTabs.js - 178.140.51.123 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+InfoPath.1) http://www.kaiparatavern.co.nz/ 200 1981 301
2017-03-04 06:55:01 GET /js/boot_slider.js - 178.140.51.123 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+InfoPath.1) http://www.kaiparatavern.co.nz/ 200 5165 303
