#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-16 08:42:59
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-16 08:42:58 GET /robots.txt - 51.75.13.156 HTTP/1.1 Go-http-client/1.1 - 404 1405 110
2019-07-16 08:43:00 GET / - 51.75.13.156 HTTP/1.1 Mozilla/5.0+(compatible;+VelenPublicWebCrawler/1.0;++https://velen.io) - 200 8209 152
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-16 09:00:55
2019-07-16 09:01:24 GET /favicon.ico - 144.139.209.139 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.142+Safari/537.36 http://www.kaiparatavern.co.nz/ 404 1405 368
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-16 10:51:43
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-16 10:51:43 GET / - 40.77.167.47 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 8209 278
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-16 15:55:42
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-16 15:55:42 GET /index.php - 46.149.197.167 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 - 404 1405 292
2019-07-16 15:55:42 GET /phpmyadmin/index.php - 46.149.197.167 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 - 404 1405 279
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-16 19:29:40
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-16 19:29:40 GET /robots.txt - 194.153.113.101 HTTP/1.1 Mozilla/5.0+(compatible;+oBot/2.3.1;+http://filterdb.iss.net/crawler/) - 404 1405 180
2019-07-16 19:29:40 GET / - 194.153.113.101 HTTP/1.1 Mozilla/5.0+(compatible;+oBot/2.3.1;+http://filterdb.iss.net/crawler/) - 200 34836 170
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-16 20:06:33
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-16 20:06:33 GET /robots.txt - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 202
2019-07-16 20:06:33 GET /robots.txt - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 206
2019-07-16 20:06:37 GET / - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 200 8209 284
2019-07-16 20:06:37 GET / - 5.45.207.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 200 6457 288
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-16 21:24:28
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-16 21:24:28 GET /robots.txt - 157.55.39.33 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 404 1405 252
2019-07-16 21:24:30 GET / - 207.46.13.131 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 34836 274
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-16 22:03:48
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
