#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-14 07:57:37
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-14 07:57:36 POST /index.php - 121.61.4.24 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/index.php?m=member&c=index&a=register&siteid=1 404 1405 548
2017-06-15 06:50:26 GET /js/jquery.min.js - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 43185 378
2017-06-15 06:50:26 GET /fonts/fontawesome-webfont.woff2 - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/css/font-awesome.min.css 404 1405 465
2017-06-15 06:50:26 GET /css/images/cd-top-arrow.svg - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/css/style.css 404 1405 427
2017-06-15 06:50:26 GET /js/boot_slider.js - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 2045 379
2017-06-15 06:50:26 GET /images/logo.png - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 9464 402
2017-06-15 06:50:26 GET /fonts/fontawesome-webfont.woff - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/css/font-awesome.min.css 404 1405 464
2017-06-15 06:50:31 GET /images/team2.jpg - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 920251 403
2017-06-15 06:50:32 GET /fonts/fontawesome-webfont.ttf - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/css/font-awesome.min.css 200 152629 463
2017-06-15 06:50:34 GET /images/work-img1.jpg - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 889310 407
2017-06-15 06:50:34 GET /images/banner2.jpg - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 46855 405
2017-06-15 06:50:34 GET /images/team1.jpg - 118.92.147.58 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G570Y+Build/MMB29K)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.83+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 982372 403
