#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-09-26 07:30:41
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-09-26 07:30:40 GET /robots.txt - 46.229.164.100 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/1.2~bl;++http://www.semrush.com/bot.html) - 404 1424 213
2017-09-26 23:15:26 GET /images/team4.jpg - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 957546 421
2017-09-26 23:15:26 GET /fonts/fontawesome-webfont.woff2 - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/css/font-awesome.min.css 404 1405 472
2017-09-26 23:15:26 GET /images/work-img1.jpg - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 889310 425
2017-09-26 23:15:26 GET /css/images/cd-top-arrow.svg - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/css/style.css 404 1405 445
2017-09-26 23:15:26 GET /images/work-img2.jpg - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1001601 425
2017-09-26 23:15:26 GET /images/team3.jpg - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 843003 421
2017-09-26 23:15:26 GET /fonts/fontawesome-webfont.woff - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/css/font-awesome.min.css 404 1405 471
2017-09-26 23:15:27 GET /images/work-img3.jpg - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 943143 425
2017-09-26 23:15:27 GET /images/banner1.jpg - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 553071 423
2017-09-26 23:15:27 GET /images/team1.jpg - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 982372 421
2017-09-26 23:15:27 GET /fonts/fontawesome-webfont.ttf - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/css/font-awesome.min.css 200 152629 470
2017-09-26 23:15:27 GET /images/work-img4.jpg - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 946466 425
2017-09-26 23:15:27 GET /images/work-img5.jpg - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 869467 425
2017-09-26 23:15:27 GET /images/work-img6.jpg - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1093416 425
2017-09-26 23:15:27 GET /images/work-img7.jpg - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1067450 425
2017-09-26 23:15:28 GET /images/work-img8.jpg - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 915658 425
2017-09-26 23:15:28 GET /images/work-img10.jpg - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 968132 426
2017-09-26 23:15:28 GET /images/work-img9.jpg - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1018615 425
2017-09-26 23:15:28 GET /images/xtra_logo.png - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 26596 425
2017-09-26 23:15:28 GET /images/work-img12.jpg - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 961465 426
2017-09-26 23:15:28 GET /images/info.jpg - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/css/style.css 200 729150 433
2017-09-26 23:15:28 GET /images/work-img11.jpg - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 891396 426
2017-09-26 23:15:30 GET /images/banner2.jpg - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 46855 423
2017-09-26 23:15:30 GET /favicon.ico - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 404 1405 416
2017-09-26 23:15:33 GET /images/banner3.jpg - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 448536 423
2017-09-26 23:15:35 GET /images/banner4.jpg - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 747680 423
2017-09-26 23:15:38 GET /images/banner5.jpg - 122.56.197.223 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J110M+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/60.0.3112.116+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 680331 423
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-09-27 00:03:40
