#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-10 10:08:33
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-10 10:08:33 GET / - 13.56.229.65 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_12_6)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.100+Safari/537.36 - 200 34836 207
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-12-10 17:22:05
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-12-11 00:40:07 GET /fonts/fontawesome-webfont.woff - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/css/font-awesome.min.css 404 1405 410
2017-12-11 00:40:08 GET /images/team3.jpg - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 843003 360
2017-12-11 00:40:08 GET /fonts/fontawesome-webfont.ttf - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/css/font-awesome.min.css 200 152629 409
2017-12-11 00:40:08 GET /images/team2.jpg - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 920251 360
2017-12-11 00:40:08 GET /images/team4.jpg - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 957546 360
2017-12-11 00:40:08 GET /images/work-img1.jpg - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 889310 364
2017-12-11 00:40:08 GET /images/team1.jpg - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 982372 360
2017-12-11 00:40:09 GET /images/banner1.jpg - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 553071 362
2017-12-11 00:40:09 GET /images/work-img2.jpg - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1001601 364
2017-12-11 00:40:09 GET /images/work-img3.jpg - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 943143 364
2017-12-11 00:40:09 GET /images/work-img4.jpg - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 946466 364
2017-12-11 00:40:09 GET /images/work-img5.jpg - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 869467 364
2017-12-11 00:40:10 GET /images/work-img8.jpg - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 915658 364
2017-12-11 00:40:10 GET /images/work-img7.jpg - 219.89.87.44 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/62.0.3202.94+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1067450 364
