#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-01 10:20:25
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-01 15:00:11 POST /Templates/red.asp - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/Templates/red.asp 404 1405 1095
2018-06-01 15:00:11 POST /plus/mytag_js.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=8080 404 1405 678
2018-06-01 15:00:12 POST /plus/mytag_js.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=8080 404 1405 1132
2018-06-01 15:00:12 POST /plus/mytag_js.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=8080 404 1405 331
2018-06-01 15:00:14 POST /images/swfupload/images/uploadye.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/images/swfupload/images/uploadye.php 404 1405 702
2018-06-01 15:00:14 POST /utility/convert/data/config.inc.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/utility/convert/data/config.inc.php 404 1405 692
2018-06-01 15:00:16 POST /config/AspCms_Config.asp - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/config/AspCms_Config.asp 404 1405 1124
2018-06-01 15:00:19 POST /plus/mytag_js.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=9090 404 1405 1132
2018-06-01 15:00:19 POST /plus/mytag_js.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=9090 404 1405 331
2018-06-01 15:00:20 POST /plus/bakup.hp - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/bakup.hp 404 1405 649
2018-06-01 15:00:20 POST /plus/bakup.hp - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/bakup.hp 404 1405 1103
2018-06-01 15:00:20 POST /plus/bakup.hp - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/bakup.hp 404 1405 652
2018-06-01 15:00:22 POST /include/code/mp.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/include/code/mp.php 404 1405 661
2018-06-01 15:00:22 POST /plus/laobiao.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/laobiao.php 404 1405 654
2018-06-01 15:00:22 POST /plus/mytag_js.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=6022 404 1405 674
2018-06-01 15:00:23 POST /plus/mytag_js.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=6022 404 1405 1128
2018-06-01 15:00:23 POST /plus/mytag_js.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=6022 404 1405 677
2018-06-01 15:00:23 POST /book/story_dod_hjkdsafon.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/book/story_dod_hjkdsafon.php 404 1405 335
2018-06-01 15:00:24 POST /data/s.asp - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/data/s.asp 404 1405 1098
2018-06-01 15:00:25 POST /plus/mytag_js.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=9527 404 1405 679
2018-06-01 15:00:25 POST /plus/mytag_js.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=9527 404 1405 1133
2018-06-01 15:00:25 POST /plus/mytag_js.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=9527 404 1405 682
2018-06-01 15:00:26 POST /plus/mytag_js.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=9191 404 1405 331
2018-06-01 15:00:28 POST /plus/mytag_js.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=9191 404 1405 1134
2018-06-01 15:00:28 POST /plus/mytag_js.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=9191 404 1405 683
2018-06-01 15:00:30 POST /install/md5.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/install/md5.php 404 1405 657
2018-06-01 15:00:30 POST /plus/mytag_js.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=9999 404 1405 678
2018-06-01 15:00:32 POST /plus/mytag_js.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=9999 404 1405 1132
2018-06-01 15:00:32 POST /plus/mytag_js.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/mytag_js.php?aid=9999 404 1405 681
2018-06-01 15:00:33 POST /base/admin/cache.asp - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/base/admin/cache.asp 404 1405 1122
2018-06-01 15:00:33 POST /bbs/utility/convert/data/config.inc.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/bbs/utility/convert/data/config.inc.php 404 1405 357
2018-06-01 15:00:34 POST /plus/zdqd.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/zdqd.php 404 1405 653
2018-06-01 15:00:34 POST /templets/plus/sky.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/templets/plus/sky.php 404 1405 664
2018-06-01 15:00:34 POST /plus/90000.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/90000.php 404 1405 651
2018-06-01 15:00:35 POST /uploadfile/userfiles/media/confg.inc.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/uploadfile/userfiles/media/confg.inc.php 404 1405 704
2018-06-01 15:00:36 POST /images/uploadfile.asp - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/images/uploadfile.asp 404 1405 1124
2018-06-01 15:00:36 POST /dxyylc/md5.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/dxyylc/md5.php 404 1405 650
2018-06-01 15:00:36 POST /plus/digg.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/digg.php 404 1405 650
2018-06-01 15:00:37 POST /plus/qingtian.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/qingtian.php 404 1405 659
2018-06-01 15:00:37 POST /plus/backup.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/backup.php 404 1405 653
2018-06-01 15:00:37 POST /plus/top.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/top.php 404 1405 303
2018-06-01 15:00:39 POST /plus/myjs.php - 113.81.27.198 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/myjs.php 404 1405 650
