#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-12 07:33:18
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-12 07:33:17 GET / - 184.94.240.92 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+rv:53.0)+Gecko/20100101+Firefox/53.0 - 200 34855 182
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-12 08:09:24
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-12 08:09:43 GET /images/work-img8.jpg - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 915658 377
2019-02-12 08:09:43 GET /images/work-img9.jpg - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1018615 377
2019-02-12 08:09:48 GET /images/work-img10.jpg - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 968132 378
2019-02-12 08:09:48 GET /images/work-img11.jpg - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 891396 378
2019-02-12 08:09:49 GET /images/work-img12.jpg - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 961465 378
2019-02-12 08:09:49 GET /images/xtra_logo.png - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 26596 377
2019-02-12 08:09:50 GET /images/info.jpg - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/css/style.css 200 729150 385
2019-02-12 08:09:56 GET /favicon.ico - 103.23.18.4 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/71.0.3578.98+Safari/537.36 http://www.kaiparatavern.co.nz/ 404 1405 368
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-12 08:29:29
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-12 08:29:29 GET / - 185.130.184.247 HTTP/1.0 Mozilla/5.0+(Windows+NT+6.3;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/68.0.3440.106+Safari/537.36 http://kaiparatavern.co.nz/ 200 34855 314
2019-02-12 08:29:30 POST / - 185.130.184.247 HTTP/1.0 Mozilla/5.0+(Windows+NT+6.3;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/68.0.3440.106+Safari/537.36 http://kaiparatavern.co.nz/ 405 1515 547
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-12 09:04:03
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-12 09:04:03 GET /robots.txt - 31.13.115.13 HTTP/1.1 facebookexternalhit/1.1+(+http://www.facebook.com/externalhit_uatext.php) - 404 1424 229
