#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-07-30 09:08:18
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-07-30 09:08:17 GET / - 42.236.54.2 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/50.0.2661.102+Safari/537.36;+360Spider http://kaiparatavern.co.nz/ 200 0 319
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-07-30 12:15:26
2018-07-30 12:16:31 POST /plus/90000.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/90000.php 404 1405 651
2018-07-30 12:16:33 POST /uploadfile/userfiles/media/confg.inc.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/uploadfile/userfiles/media/confg.inc.php 404 1405 704
2018-07-30 12:16:34 POST /images/uploadfile.asp - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/images/uploadfile.asp 404 1405 1124
2018-07-30 12:16:34 POST /dxyylc/md5.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/dxyylc/md5.php 404 1405 307
2018-07-30 12:16:43 POST /plus/qingtian.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/qingtian.php 404 1405 313
2018-07-30 12:16:45 POST /plus/backup.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/backup.php 404 1405 653
2018-07-30 12:16:47 POST /plus/top.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/top.php 404 1405 651
2018-07-30 12:16:58 POST /plus/xsvip.php - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/plus/xsvip.php 404 1405 655
2018-07-30 12:16:58 POST /dxyylc/md5.asp - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/dxyylc/md5.asp 404 1405 307
2018-07-30 12:17:00 POST /dxyylc/md5.aspx - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/dxyylc/md5.aspx 500 3266 652
