#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-04-18 08:37:51
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-04-18 08:37:50 HEAD / - 118.193.203.247 HTTP/1.1 python-requests/2.10.0 - 200 295 155
2017-04-19 00:22:41 GET /images/logo.png - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 9464 348
2017-04-19 00:22:44 GET /images/team1.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 982372 349
2017-04-19 00:22:45 GET /fonts/fontawesome-webfont.woff2 - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 404 1405 372
2017-04-19 00:22:45 GET /images/team4.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 957546 349
2017-04-19 00:22:46 GET /fonts/fontawesome-webfont.woff - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 404 1405 371
2017-04-19 00:22:46 GET /images/team3.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 843003 349
2017-04-19 00:22:48 GET /fonts/fontawesome-webfont.ttf - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 152629 370
2017-04-19 00:22:48 GET /images/work-img1.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 889310 353
2017-04-19 00:22:49 GET /images/work-img2.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 1001601 353
2017-04-19 00:22:49 GET /images/team2.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 920251 349
2017-04-19 00:22:52 GET /images/work-img4.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 946466 353
2017-04-19 00:22:52 GET /images/work-img3.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 943143 353
2017-04-19 00:22:52 GET /images/work-img5.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 869467 353
2017-04-19 00:22:56 GET /images/work-img7.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 1067450 353
2017-04-19 00:22:56 GET /images/work-img9.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 1018615 353
2017-04-19 00:22:56 GET /images/work-img8.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 915658 353
2017-04-19 00:22:56 GET /images/work-img6.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 1093416 353
2017-04-19 00:22:57 GET /images/xtra_logo.png - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 26596 353
2017-04-19 00:22:59 GET /images/work-img10.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 968132 354
2017-04-19 00:22:59 GET /images/work-img11.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 891396 354
2017-04-19 00:22:59 GET /css/images/cd-top-arrow.svg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 404 1405 360
2017-04-19 00:23:00 GET /images/banner2.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 46855 351
2017-04-19 00:23:00 GET /images/work-img12.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 961465 354
2017-04-19 00:23:00 GET /images/info.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 729150 348
2017-04-19 00:23:01 GET /images/banner1.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 553071 351
2017-04-19 00:23:04 GET /images/banner4.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 524288 351
2017-04-19 00:23:04 GET /images/banner3.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 262144 351
2017-04-19 00:23:04 GET /images/banner5.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_2_1+like+Mac+OS+X)+AppleWebKit/602.4.6+(KHTML,+like+Gecko)+Version/10.0+Mobile/14D27+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 262144 351
2017-04-19 00:23:47 GET / - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 https://www.google.co.nz/ 200 8209 418
2017-04-19 00:23:48 GET /css/bootstrap.min.css - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 27990 359
2017-04-19 00:23:48 GET /css/font-awesome.min.css - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 8118 362
2017-04-19 00:23:48 GET /css/jQuery.lightninBox.css - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1481 364
2017-04-19 00:23:48 GET /css/team.css - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1027 350
2017-04-19 00:23:49 GET /css/style.css - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 11722 351
2017-04-19 00:23:49 GET /js/modernizr.custom.js - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 4923 345
2017-04-19 00:23:49 GET /images/logo.png - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 9464 363
2017-04-19 00:23:50 GET /js/jquery.min.js - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 43185 339
2017-04-19 00:23:52 GET /images/team2.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 920251 364
2017-04-19 00:23:52 GET /css/images/cd-top-arrow.svg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://www.kaiparatavern.co.nz/css/style.css 404 1405 388
2017-04-19 00:23:52 GET /js/bootstrap.min.js - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 13266 342
2017-04-19 00:23:54 GET /images/work-img2.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1001601 368
2017-04-19 00:23:54 GET /images/work-img3.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 943143 368
2017-04-19 00:23:54 GET /js/SmoothScroll.min.js - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 3749 345
2017-04-19 00:23:56 GET /images/work-img1.jpg - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 889310 368
2017-04-19 00:23:56 GET /js/main.js - 218.101.118.175 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/57.0.2987.133+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 871 333
