#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-05-13 09:23:06
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-05-13 18:51:04 GET /images/work-img1.jpg - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 889310 498
2019-05-13 18:51:04 GET /images/work-img4.jpg - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 946466 498
2019-05-13 18:51:04 GET /images/team4.jpg - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 957546 494
2019-05-13 18:51:05 GET /images/work-img9.jpg - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 1018615 498
2019-05-13 18:51:05 GET /images/work-img5.jpg - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 869467 498
2019-05-13 18:51:05 GET /fonts/fontawesome-webfont.eot - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 404 1405 497
2019-05-13 18:51:05 GET /images/team2.jpg - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 920251 494
2019-05-13 18:51:05 GET /css/images/cd-top-arrow.svg - 52.64.156.81 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - 404 1405 221
2019-05-13 18:51:05 GET /images/work-img3.jpg - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 943143 498
2019-05-13 18:51:05 GET /images/banner2.jpg - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 46855 496
2019-05-13 18:51:05 GET /images/team1.jpg - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 982372 494
2019-05-13 18:51:05 GET /fonts/fontawesome-webfont.woff - 52.64.156.81 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - 404 1405 232
2019-05-13 18:51:05 GET /css/images/cd-top-arrow.svg - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 404 1405 505
2019-05-13 18:51:05 GET /images/work-img2.jpg - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 1001601 498
2019-05-13 18:51:06 GET /fonts/fontawesome-webfont.woff - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 404 1405 505
2019-05-13 18:51:06 GET /images/xtra_logo.png - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 26596 498
2019-05-13 18:51:06 GET /images/work-img6.jpg - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 1093416 498
2019-05-13 18:51:06 GET /fonts/fontawesome-webfont.ttf - 52.64.156.81 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko - 200 0 231
2019-05-13 18:51:07 GET /fonts/fontawesome-webfont.ttf - 203.96.84.33 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.3;+WOW64;+Trident/7.0;+rv:11.0)+like+Gecko http://kaiparatavern.co.nz/ 200 152629 504
