#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-06 14:08:57
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-06 22:20:13 GET /images/team1.jpg - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 982372 356
2017-06-06 22:20:14 GET /images/work-img4.jpg - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 946466 360
2017-06-06 22:20:16 GET /images/work-img2.jpg - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 1001601 360
2017-06-06 22:20:16 GET /images/xtra_logo.png - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 26596 360
2017-06-06 22:20:25 GET /images/work-img5.jpg - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 869467 360
2017-06-06 22:20:47 GET /images/work-img9.jpg - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 1018615 360
2017-06-06 22:20:59 GET /images/work-img8.jpg - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 915658 360
2017-06-06 22:20:59 GET /images/banner3.jpg - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 448536 358
2017-06-06 22:21:33 GET /images/work-img10.jpg - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 968132 361
2017-06-06 22:22:13 GET /images/work-img6.jpg - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 1093416 360
2017-06-06 22:22:18 GET /images/banner4.jpg - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 747680 358
2017-06-06 22:22:21 GET /images/work-img12.jpg - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 961465 361
2017-06-06 22:22:36 GET /images/work-img7.jpg - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 1067450 360
2017-06-06 22:22:38 GET /images/info.jpg - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 729150 355
2017-06-06 22:22:55 GET /images/work-img11.jpg - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 891396 361
2017-06-06 22:23:13 GET /images/banner5.jpg - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+WOW64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko http://www.kaiparatavern.co.nz/ 200 680331 358
2017-06-06 22:23:15 GET /favicon.ico - 202.36.75.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64;+Trident/7.0;+Touch;+MASMJS;+rv:11.0)+like+Gecko - 404 1405 255
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-06 23:07:20
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-06 23:07:20 GET /js/cbpFWTabs.js - 180.76.15.21 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 1227 240
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-06 23:29:32
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-06 23:29:32 GET /images/work-img1.jpg - 66.249.79.159 HTTP/1.1 Googlebot-Image/1.0 - 304 210 257
2017-06-06 23:37:48 GET /images/10.jpg - 66.249.79.158 HTTP/1.1 Googlebot-Image/1.0 - 304 210 250
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-07 00:08:54
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-07 00:08:54 GET / - 88.198.25.244 HTTP/1.1 Mozilla/5.0+(compatible;+MegaIndex.ru/2.0;++http://megaindex.com/crawler) - 200 8209 177
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-07 00:51:07
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-07 00:51:07 GET / - 66.249.79.77 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 296
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-07 02:31:03
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-07 02:31:03 GET / - 66.249.79.159 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 300
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-07 02:54:53
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-07 02:54:53 GET / - 66.249.79.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 422
2017-06-07 02:56:05 GET / - 66.249.79.157 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 426
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-07 03:25:53
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-07 03:25:53 GET / - 66.249.79.75 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 296
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-07 04:04:02
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-07 04:04:01 GET / - 66.249.79.159 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 426
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-07 04:20:43
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-07 04:20:42 GET / - 66.249.79.157 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 300
2017-06-07 04:24:17 GET / - 66.249.79.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 422
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-07 05:01:15
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-07 05:01:14 GET /robots.txt - 66.249.79.159 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 233
2017-06-07 05:01:15 GET / - 66.249.79.158 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 426
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-07 06:08:00
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-07 06:08:00 GET / - 66.249.79.73 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 296
2017-06-07 06:13:58 GET / - 66.249.79.157 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 300
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-07 06:42:34
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2017-06-07 06:42:34 GET / - 66.249.79.75 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 422
2017-06-07 06:44:57 GET / - 66.249.79.158 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 426
