#Software: Microsoft Internet Information Services 7.5
2018-03-30 20:31:23 GET /images/team1.jpg - 27.252.183.40 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 524288 384
2018-03-30 20:31:23 GET /images/team4.jpg - 27.252.183.40 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 393216 384
2018-03-30 20:31:23 GET /images/team3.jpg - 27.252.183.40 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 655360 384
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-03-30 21:54:57
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-03-30 21:54:57 GET /css/team.css - 27.252.183.40 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 1027 351
2018-03-30 21:54:58 GET /images/4.jpg - 66.249.79.12 HTTP/1.1 Googlebot-Image/1.0 - 304 211 249
2018-03-30 21:55:01 GET /js/bootstrap.min.js - 27.252.183.40 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 13266 343
2018-03-30 21:55:01 GET /fonts/fontawesome-webfont.woff2 - 27.252.183.40 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.kaiparatavern.co.nz/ 404 1405 363
2018-03-30 21:55:31 GET /images/team3.jpg - 27.252.183.40 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 843003 384
2018-03-30 21:55:31 GET /fonts/fontawesome-webfont.woff - 27.252.183.40 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.kaiparatavern.co.nz/ 404 1405 362
2018-03-30 21:55:39 GET /images/team2.jpg - 27.252.183.40 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 920251 384
2018-03-30 21:55:40 GET /images/team4.jpg - 27.252.183.40 HTTP/1.1 Mozilla/5.0+(iPad;+CPU+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 http://www.kaiparatavern.co.nz/ 200 957546 384
