2019-03-23 04:06:43 GET /js/anijs.js - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 33996 354
2019-03-23 04:06:43 GET /js/app.js - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 303 352
2019-03-23 04:06:43 GET /fonts/PIZZAHUT-FONT.TTF - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 19512 400
2019-03-23 04:06:43 GET /images/icon1.png - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 1492 395
2019-03-23 04:06:43 GET /images/icon3.png - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 1534 395
2019-03-23 04:06:44 GET /images/1-thumb.jpg - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 91374 397
2019-03-23 04:06:44 GET /images/icon2.png - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 1295 395
2019-03-23 04:06:46 GET /images/menu.png - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 18287 394
2019-03-23 04:06:46 GET /fonts/glyphicons-halflings-regular.ttf - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/css/bootstrap.min.css 200 29775 436
2019-03-23 04:06:46 GET /images/2-thumb.jpg - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 108334 397
2019-03-23 04:06:48 GET /images/s7.jpg - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 30366 392
2019-03-23 04:06:48 GET /images/gallery.png - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 21002 397
2019-03-23 04:06:48 GET /images/s1.jpg - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 27980 392
2019-03-23 04:06:49 GET /images/2.jpg - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 569632 391
2019-03-23 04:06:49 GET /images/s3.jpg - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 27171 392
2019-03-23 04:06:49 GET /images/s4.jpg - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 27363 392
2019-03-23 04:06:49 GET /images/s2.jpg - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 26686 392
2019-03-23 04:06:49 GET /images/3-thumb.jpg - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 102350 397
2019-03-23 04:06:49 GET /images/s5.jpg - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 25942 392
2019-03-23 04:06:50 GET /images/contact.png - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 18652 397
2019-03-23 04:06:50 GET /images/uparr-48-w.png - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/css/style.css 200 704 413
2019-03-23 04:06:50 GET /images/7days.png - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 14496 395
2019-03-23 04:06:50 GET /images/4-thumb.jpg - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 150284 397
2019-03-23 04:07:03 GET /images/3.jpg - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 200 1379212 391
2019-03-23 04:07:04 GET /favicon.ico - 124.197.35.248 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-G950F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/73.0.3683.75+Mobile+Safari/537.36 http://ngateapizza.co.nz/ 404 1405 390
