#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-06-24 04:17:47 GET /images/icon1.png - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 1492 362
2019-06-24 04:17:47 GET /fonts/glyphicons-halflings-regular.woff - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/css/bootstrap.min.css 404 1405 404
2019-06-24 04:17:47 GET /images/logo.png - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 96088 361
2019-06-24 04:17:47 GET /images/icon2.png - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 1295 362
2019-06-24 04:17:47 GET /fonts/PIZZAHUT-FONT.TTF - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 19512 367
2019-06-24 04:17:47 GET /js/jquery.contact-buttons.js - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 404 1405 338
2019-06-24 04:17:47 GET /js/anijs.js - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 9102 321
2019-06-24 04:17:47 GET /js/app.js - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 471 319
2019-06-24 04:17:47 GET /fonts/glyphicons-halflings-regular.ttf - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/css/bootstrap.min.css 200 29775 403
2019-06-24 04:17:48 GET /images/menu.png - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 18287 361
2019-06-24 04:17:48 GET /images/3-thumb.jpg - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 102350 364
2019-06-24 04:17:48 GET /images/gallery.png - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 21002 364
2019-06-24 04:17:50 GET /images/1-thumb.jpg - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 91374 364
2019-06-24 04:17:50 GET /images/2-thumb.jpg - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 108334 364
2019-06-24 04:17:50 GET /images/uparr-48-w.png - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/css/style.css 200 704 380
2019-06-24 04:17:50 GET /images/s7.jpg - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 30366 359
2019-06-24 04:17:50 GET /images/contact.png - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 18652 364
2019-06-24 04:17:50 GET /images/s1.jpg - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 27980 359
2019-06-24 04:17:51 GET /images/s2.jpg - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 26686 359
2019-06-24 04:17:51 GET /images/7days.png - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 14496 362
2019-06-24 04:17:51 GET /images/s3.jpg - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 27171 359
2019-06-24 04:17:51 GET /images/s4.jpg - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 27363 359
2019-06-24 04:17:51 GET /images/s5.jpg - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 25942 359
2019-06-24 04:17:51 GET /images/4-thumb.jpg - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 150284 364
2019-06-24 04:17:54 GET /images/2.jpg - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 569632 358
2019-06-24 04:18:01 GET /images/3.jpg - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 200 1379212 358
2019-06-24 04:18:01 GET /favicon.ico - 101.98.131.211 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.100+Safari/537.36 http://ngateapizza.co.nz/ 404 1405 357
