#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-06 07:18:12
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-06 07:18:12 GET / - 5.144.130.13 HTTP/1.1 Mozilla/5.0+(Windows;+U;+Windows+NT+5.1;+en-US)+AppleWebKit/533.4+(KHTML,+like+Gecko)+Chrome/5.0.375.99+Safari/533.4 crossroadsbar.co.nz 200 23480 218
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-06 12:24:58
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-06 12:24:57 GET /robots.txt - 180.76.15.160 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:6.0.2)+Gecko/20100101+Firefox/6.0.2 - 404 1424 221
2019-02-06 12:25:52 GET / - 180.76.15.144 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - 200 23499 221
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-06 23:26:16
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-06 23:27:02 GET /images/s2.jpg - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 863576 427
2019-02-06 23:27:08 GET /images/s1.jpg - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 692503 427
2019-02-06 23:27:11 GET /images/s4.jpg - 89.178.239.5 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.102+YaBrowser/18.11.1.721+Yowser/2.5+Safari/537.36 http://www.crossroadsbar.co.nz/ 200 786432 427
2019-02-06 23:27:37 GET / - 42.236.103.106 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/50.0.2661.102+Safari/537.36;+360Spider http://www.crossroadsbar.co.nz/ 200 23480 327
2019-02-06 23:34:45 GET /robots.txt - 5.196.87.31 HTTP/1.1 Mozilla/5.0+(compatible;+AhrefsBot/6.1;++http://ahrefs.com/robot/) - 404 1405 180
2019-02-06 23:34:47 GET /images/c3.jpg - 54.36.148.149 HTTP/1.1 Mozilla/5.0+(compatible;+AhrefsBot/6.1;++http://ahrefs.com/robot/) - 200 0 183
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-07 00:37:05
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-07 00:37:05 GET /robots.txt - 157.55.39.26 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 404 1405 256
2019-02-07 00:37:12 GET /images/s4.jpg - 207.46.13.43 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 882157 291
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-02-07 02:41:07
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-02-07 02:41:06 GET /images/s2.jpg - 207.46.13.43 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - 200 863576 291
