#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-08-05 07:36:28
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-08-05 09:38:03 GET / - 108.59.8.70 HTTP/1.1 Mozilla/5.0+(compatible;+MJ12bot/v1.4.8;+http://mj12bot.com/) - 200 13738 346
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-08-05 10:04:28
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-08-05 10:04:27 POST /plus/mytag_js.php - 96.44.183.115 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.2) - 404 1405 1155
2018-08-05 10:04:28 POST /css.asp - 96.44.183.115 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.2) - 404 1405 1241
2018-08-05 10:04:28 POST /plus/mytag_js.php - 96.44.183.115 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.2) - 404 1405 1152
2018-08-05 10:04:28 POST /index.php - 96.44.183.115 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.2) - 404 1405 1170
2018-08-05 10:04:28 POST /siteweb.asp - 96.44.183.115 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.2) - 404 1405 1245
2018-08-05 10:04:28 POST /favicon.php - 96.44.183.115 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.2) - 404 1405 1133
2018-08-05 10:04:28 POST /SqlOut.asp - 96.44.183.115 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.2) - 404 1405 1243
2018-08-05 10:04:29 POST /data/cache/asd.php - 96.44.183.115 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.2) - 404 1405 1140
2018-08-05 10:04:29 POST /plus/result.php - 96.44.183.115 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.2) - 404 1405 1140
