#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2016-11-02 07:26:17
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2016-11-02 07:26:17 GET / - 54.198.254.189 HTTP/1.1 Mozilla/5.0+(Windows;+U;+Windows+NT+6.0;+en-US;+rv:1.9.2.3)+Gecko/20100401+Firefox/3.6.3+GTB6+(.NET+CLR+3.5.30729) - 200 13738 195
2016-11-02 07:39:48 GET /robots.txt - 178.154.189.33 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - 404 1405 187
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2016-11-02 09:22:28
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2016-11-02 09:26:22 GET /img/01.jpg - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/about.html 200 3652210 400
2016-11-02 09:26:32 GET /services.html - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/about.html 200 2967 390
2016-11-02 09:26:46 GET /portfolio.html - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/services.html 200 2704 394
2016-11-02 09:26:47 GET /css/lightbox.min.css - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/portfolio.html 200 1416 366
2016-11-02 09:26:47 GET /js/lightbox-plus-jquery.min.js - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/portfolio.html 200 41513 396
2016-11-02 09:26:47 GET /img/next.png - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/portfolio.html 200 1598 406
2016-11-02 09:26:48 GET /img/prev.png - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/portfolio.html 200 1608 406
2016-11-02 09:26:48 GET /img/close.png - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/portfolio.html 200 526 407
2016-11-02 09:26:48 GET /img/loading.gif - 118.82.232.227 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/51.0.2704.79+Safari/537.36+Edge/14.14393 http://www.palacehotel.co.nz/portfolio.html 200 8724 409
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
