#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-10-20 07:44:55
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-10-20 07:44:54 GET / - 112.5.243.150 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.99+Safari/537.36 https://www.blog4u.top/how-to-generate-traffic-to-your-website-fast/68646325/ 200 13729 413
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-10-20 08:08:47
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-10-20 08:08:51 GET /images/gallery/gallery-2.jpg - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16758 412
2018-10-20 08:08:51 GET /images/team/member-2.jpg - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 594701 408
2018-10-20 08:08:53 GET /images/gallery/gallery-3.jpg - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14699 412
2018-10-20 08:08:53 GET /images/gallery/gallery-4.jpg - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14402 412
2018-10-20 08:08:53 GET /images/gallery/gallery-5.jpg - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 18116 412
2018-10-20 08:08:54 GET /images/gallery/gallery-6.jpg - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 20196 412
2018-10-20 08:08:54 GET /images/icon-facebook.png - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1874 417
2018-10-20 08:08:54 GET /images/bkgs/section-bkg.jpg - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 130166 411
2018-10-20 08:08:54 GET /images/toggle-plus.png - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1206 415
2018-10-20 08:08:54 GET /images/toggle-minus.png - 49.224.75.125 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.0.0;+SM-N950F+Build/R16NW)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/69.0.3497.100+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1196 416
