#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-08-04 08:04:45
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-08-05 05:24:24 GET /js/contactform.js - 118.93.10.34 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 1385 381
2018-08-05 05:24:24 GET /js/jquery.flexslider-min.js - 118.93.10.34 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 8289 391
2018-08-05 05:24:24 GET /js/jquery.form.min.js - 118.93.10.34 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 5510 385
2018-08-05 05:24:24 GET /js/jquery.nicescroll.min.js - 118.93.10.34 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 21445 391
2018-08-05 05:24:24 GET /js/init.js - 118.93.10.34 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 1800 374
2018-08-05 05:24:26 GET /images/events/event-4.jpg - 118.93.10.34 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16101 425
2018-08-05 05:24:28 GET /images/events/event-1.jpg - 118.93.10.34 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 608557 425
2018-08-05 05:24:30 GET /images/bkgs/home-bkg.jpg - 118.93.10.34 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 275939 424
2018-08-05 05:24:31 GET /images/gallery/gallery-1.jpg - 118.93.10.34 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16100 428
2018-08-05 05:24:31 GET /images/gallery/gallery-2.jpg - 118.93.10.34 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.87+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16758 428
