#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-11-03 07:37:22
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-11-03 07:37:22 GET / - 23.237.4.26 HTTP/1.1 Mozilla/5.0+(compatible;+AlphaBot/3.2;++http://alphaseobot.com/bot.html) - 200 103142 172
2018-11-03 07:51:24 GET /images/gallery/gallery-2.jpg - 66.249.82.75 HTTP/1.1 Mozilla/5.0+(Windows+NT+5.1;+rv:11.0)+Gecko+Firefox/11.0+(via+ggpht.com+GoogleImageProxy) - 200 16758 236
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-11-03 08:17:55
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-11-03 09:50:24 GET /style.css - 64.233.173.154 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 17822 528
2018-11-03 09:50:24 GET /images/logo-big.png - 64.233.173.156 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16600 559
2018-11-03 09:50:24 GET /js/prettyphoto/css/prettyPhoto.css - 64.233.173.155 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 20163 553
2018-11-03 09:50:24 GET /css/bootstrap/css/bootstrap.min.css - 64.233.173.155 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 97587 554
2018-11-03 09:50:24 GET /images/blog/blog-1.jpg - 64.233.173.156 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14403 562
2018-11-03 09:50:24 GET /js/jquery.easing.min.js - 64.233.173.156 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 7308 527
2018-11-03 09:50:24 GET /css/bootstrap/js/bootstrap.min.js - 64.233.173.156 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 27990 537
2018-11-03 09:50:24 GET /js/prettyphoto/js/jquery.prettyPhoto.js - 64.233.173.156 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 22334 543
2018-11-03 09:50:24 GET /js/jquery.isotope.min.js - 64.233.173.154 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16218 528
2018-11-03 09:50:24 GET /js/jquery.flexslider-min.js - 64.233.173.156 HTTP/1.1 Mozilla/5.0+(Linux;+Android+8.1.0;+Nexus+6P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/70.0.3538.80+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 21685 531
