#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-22 08:41:22
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-08-22 08:41:22 GET / - 52.11.76.238 HTTP/1.1 Go-http-client/1.1 - 200 13729 98
2019-08-22 17:20:11 GET /images/gallery/gallery-2.jpg - 54.36.149.32 HTTP/1.1 Mozilla/5.0+(compatible;+AhrefsBot/6.1;++http://ahrefs.com/robot/) - 200 0 200
2019-08-22 17:34:50 GET /images/logo-big.png - 54.211.44.62 HTTP/1.1 Mozilla/5.0+(X11;+Linux+x86_64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/58.0.3029.110+Safari/537.36 - 200 16600 315
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-22 18:33:30
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-08-22 18:33:30 GET /wp-admin/ - 198.38.77.79 HTTP/1.1 - - 404 1424 71
2019-08-22 18:39:34 GET /test/wp-admin/ - 94.130.83.2 HTTP/1.1 - - 404 1424 76
2019-08-22 18:45:23 GET /wordpress/wp-admin/ - 91.223.69.6 HTTP/1.1 - - 404 1424 81
2019-08-22 18:51:12 GET /blog/wp-admin/ - 184.168.27.191 HTTP/1.1 - - 404 1424 76
2019-08-22 18:57:02 GET /wp/wp-admin/ - 178.18.140.106 HTTP/1.1 - - 404 1424 74
2019-08-22 19:02:57 GET /old/wp-admin/ - 68.65.122.48 HTTP/1.1 - - 404 1424 75
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-22 19:46:40
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-08-22 19:46:40 GET / - 66.249.79.179 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 13729 298
2019-08-22 19:46:47 GET /favicon.ico - 66.249.79.181 HTTP/1.1 Googlebot-Image/1.0 - 404 1405 196
2019-08-22 19:46:47 GET /images/favicon.ico - 66.249.79.179 HTTP/1.1 Googlebot-Image/1.0 - 404 1405 203
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-08-22 20:47:54
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-08-22 20:47:53 GET / - 118.93.9.36 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/76.0.3809.100+Safari/537.36 https://www.google.com/ 200 13729 488
2019-08-22 20:47:54 GET /style.css - 118.93.9.36 HTTP/1.1 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/76.0.3809.100+Safari/537.36 http://www.ngateahotel.co.nz/ 200 5866 373
