#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-02-17 08:02:33
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-02-18 05:30:54 GET /images/bkgs/home-bkg.jpg - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 275939 425
2018-02-18 05:30:55 GET /images/team/member-1.jpg - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 593475 425
2018-02-18 05:30:55 GET /images/events/event-1.jpg - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 608557 426
2018-02-18 05:30:55 GET /images/gallery/gallery-1.jpg - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16100 429
2018-02-18 05:30:55 GET /images/gallery/gallery-2.jpg - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16758 429
2018-02-18 05:30:55 GET /images/team/member-3.jpg - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 587295 425
2018-02-18 05:30:55 GET /images/events/event-2.jpg - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 595360 426
2018-02-18 05:30:55 GET /images/team/member-2.jpg - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 594701 425
2018-02-18 05:30:55 GET /images/gallery/gallery-3.jpg - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14699 429
2018-02-18 05:30:55 GET /images/gallery/gallery-4.jpg - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14402 429
2018-02-18 05:30:55 GET /images/gallery/gallery-5.jpg - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 18116 429
2018-02-18 05:30:55 GET /images/gallery/gallery-6.jpg - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 20196 429
2018-02-18 05:30:56 GET /images/bkgs/section-bkg.jpg - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 130166 428
2018-02-18 05:30:56 GET /images/icon-facebook.png - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1874 434
2018-02-18 05:30:56 GET /images/toggle-plus.png - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1206 432
2018-02-18 05:30:56 GET /images/events/event-3.jpg - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 598125 426
2018-02-18 05:30:56 GET /images/flexslider-arrows.png - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1827 438
2018-02-18 05:30:56 GET /images/toggle-minus.png - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1196 433
2018-02-18 05:30:57 GET /images/favicon.ico - 122.56.199.42 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+SM-G900I+Build/MMB29M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/64.0.3282.137+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 404 1405 419
