#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-06-13 09:56:36
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-06-13 22:44:52 GET /style.css - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 5866 372
2018-06-13 22:44:52 GET /css/colors.css - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 3308 377
2018-06-13 22:44:53 GET /js/prettyphoto/css/prettyPhoto.css - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 4101 397
2018-06-13 22:44:53 GET /images/logo-big.png - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16600 403
2018-06-13 22:44:53 GET /images/blog/blog-1.jpg - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14403 406
2018-06-13 22:44:56 GET /images/events/event-1.jpg - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 608557 409
2018-06-13 22:44:56 GET /images/events/event-4.jpg - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16101 409
2018-06-13 22:44:56 GET /css/bootstrap/fonts/glyphicons-halflings-regular.woff - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/css/bootstrap/css/bootstrap.min.css 404 1405 474
2018-06-13 22:44:56 GET /css/bootstrap/js/bootstrap.min.js - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 9762 381
2018-06-13 22:44:57 GET /images/events/event-2.jpg - 122.57.152.32 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_13_5)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.181+Safari/537.36 http://www.ngateahotel.co.nz/ 200 595360 409
