#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-14 07:32:33
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-14 07:32:33 GET / - 178.159.127.39 HTTP/1.0 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.170+Safari/537.36+OPR/53.0.2907.68 - 200 0 338
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-14 08:39:09
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-14 08:39:09 GET /robots.txt - 66.249.79.183 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 235
2019-07-14 08:39:25 GET /webapps/i/89914/230892/401766 - 66.249.79.181 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 588
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-14 09:22:47
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-14 09:22:46 GET / - 36.69.83.142 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:21.0)+Gecko/20100101+Firefox/21.0 - 200 13729 330
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2019-07-14 09:58:32
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2019-07-14 12:05:00 GET /images/gallery/gallery-1.jpg - 115.188.243.25 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SM-A530F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.101+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16100 420
2019-07-14 12:05:00 GET /images/events/event-1.jpg - 115.188.243.25 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SM-A530F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.101+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 608557 417
2019-07-14 12:05:00 GET /images/gallery/gallery-2.jpg - 115.188.243.25 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SM-A530F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.101+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16758 420
2019-07-14 12:05:00 GET /images/events/event-2.jpg - 115.188.243.25 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SM-A530F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.101+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 595360 417
2019-07-14 12:05:00 GET /images/gallery/gallery-4.jpg - 115.188.243.25 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SM-A530F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.101+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14402 420
2019-07-14 12:05:01 GET /images/team/member-1.jpg - 115.188.243.25 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SM-A530F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.101+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 593475 416
2019-07-14 12:05:01 GET /images/gallery/gallery-3.jpg - 115.188.243.25 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SM-A530F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.101+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14699 420
2019-07-14 12:05:01 GET /images/gallery/gallery-5.jpg - 115.188.243.25 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SM-A530F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.101+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 18116 420
2019-07-14 12:05:01 GET /images/gallery/gallery-6.jpg - 115.188.243.25 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SM-A530F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.101+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 20196 420
2019-07-14 12:05:01 GET /images/icon-facebook.png - 115.188.243.25 HTTP/1.1 Mozilla/5.0+(Linux;+Android+9;+SM-A530F)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/75.0.3770.101+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/style.css 200 1874 425
